n_agents,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,true_consensus,convergence_step,agent_type
133403,0.5558396387829296,0.0011537206072644,9531,randomize,11.769555407299686,0.977099465529261,344,bayes
133403,0.1174109852316622,0.0151061829892762,3471,randomize,11.769585391632871,0.7439862671754008,10,bayes
133403,0.7189576649336674,0.0103664828997403,3592,randomize,11.769540415133092,0.9932085485333914,12,bayes
133403,0.6555239545321991,0.024587587501631,5676,randomize,11.76948044646672,0.9912820551261966,5,bayes
133403,0.4896975078565905,0.0146747026521867,4421,randomize,11.76948044646672,0.97410103221067,8,bayes
133403,0.5050028451329132,0.0248469379849147,284,randomize,11.7695254229665,0.974445852042308,32,bayes
133403,0.0448193766808258,0.0019907127430675,8301,randomize,11.76963036813265,0.5492904957159884,132,bayes
133403,0.6764408613639807,0.0227678631859067,2910,randomize,11.769615375966058,0.991994183039362,6,bayes
133403,0.0066363216671156,0.0137960690537292,8614,randomize,11.769615375966058,0.5924454472538099,6,bayes
133403,0.4809116318780837,0.0182254116633415,90,randomize,11.769450462133536,0.9654655442531276,122,bayes
133403,0.340237562816054,0.0011584305119156,5655,randomize,11.769540415133092,0.9111489246868512,618,bayes
133403,0.6997232209877701,0.0037972930390108,2218,randomize,11.769555407299686,0.9910421804607092,123,bayes
133403,0.1165912262088507,0.0170688346261457,5233,randomize,11.769600383799466,0.7478167657399009,8,bayes
133403,0.3009141792028323,0.0119612068009651,6134,randomize,11.7695254229665,0.917378169906224,9,bayes
133403,0.9044407367566224,0.0170087211691337,6074,randomize,11.769615375966058,0.99802103400973,6,bayes
133403,0.9660334036859392,0.0244296423842867,4470,randomize,11.769645360299243,0.9984782950908152,5,bayes
133403,0.3522218765315881,0.0165539814362165,82,randomize,11.7695254229665,0.9220107493834472,198,bayes
133403,0.0428017837910543,0.0102530664111846,8173,randomize,11.769585391632871,0.6372045606170775,8,bayes
133403,0.5484435882677684,0.0069790422277183,4465,randomize,11.769465454300128,0.9799479771819224,21,bayes
133403,0.2221353527304165,0.0036409630732586,7682,randomize,11.769495438633314,0.8368177627189793,49,bayes
133403,0.0623106154045469,0.0118367805067716,7277,randomize,11.76963036813265,0.6724061677773363,9,bayes
133403,0.3519537948412879,0.0219410550263619,2782,randomize,11.769585391632871,0.939431646964461,8,bayes
133403,0.4801590337505826,0.0083466906342714,7160,randomize,11.769555407299686,0.9713874500573452,11,bayes
133403,0.3267870121631723,0.0035090920573801,4324,randomize,11.769540415133092,0.9116061857679364,99,bayes
133403,0.7749840033864074,0.00348143872732,266,randomize,11.769555407299686,0.9938906921133708,1089,bayes
133403,0.5412999030935496,0.0071973148443619,869,randomize,11.769465454300128,0.9772119067787082,99,bayes
133403,0.7684499561510768,0.0051154955775234,3843,randomize,11.769495438633314,0.9944978748603854,35,bayes
133403,0.9138147381406184,0.0236902189902509,2940,randomize,11.769645360299243,0.9979685614266546,6,bayes
133403,0.4526239222733632,0.0221359541836817,7723,randomize,11.769555407299686,0.9685164501547942,7,bayes
133403,0.1510798370659138,0.0023919783886681,9342,randomize,11.769540415133092,0.7363327661296972,90,bayes
133403,0.9871775373238166,0.0181341841788089,7830,randomize,11.769600383799466,0.99855325592378,6,bayes
133403,0.1259361781554111,0.0153919588330142,3515,randomize,11.769600383799466,0.7577940526075125,10,bayes
133403,0.4484614952596657,0.007591183274418,3978,randomize,11.769510430799906,0.9629543563488078,22,bayes
133403,0.3432657294255046,0.0141867715379537,1016,randomize,11.769510430799906,0.9287047517672016,27,bayes
133403,0.213562814863859,0.0035908141359721,3877,randomize,11.7695254229665,0.8169681341499067,99,bayes
133403,0.9785633168217678,0.0175128503200972,9609,randomize,11.76963036813265,0.9984558068409256,4,bayes
133403,0.44609006984172,0.0159893058613941,5052,randomize,11.769555407299686,0.9667773588300114,7,bayes
133403,0.1810908576181363,0.0047106016376508,3003,randomize,11.769600383799466,0.7820288899050246,103,bayes
133403,0.3239843720732855,0.0132669581350603,7067,randomize,11.769495438633314,0.928427396685232,9,bayes
133403,0.4335169759849223,0.0108204222088494,3183,randomize,11.76948044646672,0.9613801788565476,15,bayes
133403,0.7701920719899208,0.0090520267651682,9170,randomize,11.769585391632871,0.9950525850243248,7,bayes
133403,0.5927891009057934,0.0086512098023478,4746,randomize,11.769465454300128,0.986154734151406,16,bayes
133403,0.9435185794596468,0.0139525174495066,2707,randomize,11.769600383799466,0.9981109870092876,9,bayes
133403,0.802060004227665,0.0212506648079373,6504,randomize,11.769555407299686,0.9962744466016508,5,bayes
133403,0.9912677454505102,0.0194480439545125,9535,randomize,11.769645360299243,0.99855325592378,5,bayes
133403,0.1931312411165832,0.0108503398401055,1641,randomize,11.769510430799906,0.8162635023200377,28,bayes
133403,0.0360815859944626,0.0226023867803736,9773,randomize,11.769645360299243,0.6363350149546861,6,bayes
133403,0.4099181684760773,0.0214348757420075,1972,randomize,11.769555407299686,0.9577895549575348,8,bayes
133403,0.5768643885329459,0.009713406049659,8443,randomize,11.769540415133092,0.9846780057419998,8,bayes
133403,0.0718035625051075,0.0145858204802623,461,randomize,11.769600383799466,0.6225722060223533,52,bayes
133403,0.2763727225624693,0.0122063398214169,2759,randomize,11.76957039946628,0.8984055830828392,16,bayes
133403,0.990686861236854,0.0029119907002764,7295,randomize,11.769645360299243,0.9984408146743328,54,bayes
133403,0.6718758230070818,0.0120747766143323,8521,randomize,11.769420477800349,0.9914469689587192,7,bayes
133403,0.2880120041133873,0.0036873479828096,4278,randomize,11.769540415133092,0.8867266853069271,80,bayes
133403,0.9110990185647198,0.0049490006005601,5319,randomize,11.769615375966058,0.9975787650952376,28,bayes
133403,0.7157844739298129,0.0099453001210191,5411,randomize,11.769510430799906,0.9932910054496524,10,bayes
133403,0.4718586130568331,0.0112475122094558,1036,randomize,11.769555407299686,0.9666724136638606,34,bayes
133403,0.6792871721477112,0.0057126112594505,553,randomize,11.769495438633314,0.9896629011341574,228,bayes
133403,0.0034121069866903,0.0029516242777923,3495,randomize,11.769645360299243,0.4823879522949259,141,bayes
133403,0.0619944478391231,0.0020942296313201,4089,randomize,11.769645360299243,0.565969281050651,227,bayes
133403,0.30453231964056,0.0060732057707254,8548,randomize,11.769510430799906,0.9113138385193736,20,bayes
